"blog_id","blog_name","blog_description","blog_url","blog_author","blog_author_twitter_username","blog_rss_feed","blog_tags",id,blog_RSSCrawl_active,blog_last_post_timestamp,"blog_crawlingType","created_at","updated_at",hours_bw_posts_median,hours_bw_posts_average,"reason_for_deactivation","blog_thumb"
"cinegoon"," The Cinema Goon","Movies in a nutshell,  by Firas Haidar","http://cinegoon.wordpress.com","Firas Haidar","firashaidar","http://cinegoon.wordpress.com/feed/","society, movies, culture",202,0,1437159060,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","cinegoon"
"monkyseemonkydo","monkyseemonkydo","Dietitian and Enthusiast from Lebanon living in Dubai.. So hyper and impatient it’s annoying..I want to share my love for Music and Fashion..I believe you can never discover enough of what the world has got to offer. Hope you enjoy my blog! ","http://monkyseemonkydo.com/"," Ghida Arnaout","monkyseemnkydo","http://monkyseemonkydo.com/feed/","music, fashion, society, media",203,1,1481108700,"","0000-00-00 00:00:00","2016-12-07 11:12:03",NULL,NULL,NULL,"monkyseemonkydo"
"roussweetcorner","Rou's Sweet Corner","Welcome to my kitchen. My name is Rou’a and this is my blog.  I love everything that has to do with food whether it is making it or eating it. I especially love love love making desserts","http://roussweetcorner.wordpress.com/","rou'a wehbi","roua_wehbi","http://roussweetcorner.wordpress.com/feed/","Food",204,1,1496694480,"","0000-00-00 00:00:00","2017-06-12 09:41:36",NULL,NULL,NULL,"roussweetcorner"
"the50bookproject","50 Books, 365 Days","Warnings will be issued before spoilers","http://the50bookproject.blogspot.com","Razan Wehbi","razanwehbi","http://the50bookproject.blogspot.com/feeds/posts/default?alt=rss","Society, Books",205,0,1393356000,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","the50bookproject"
"microsoftoholic","Microsoftoholic","A Microsoftoholic, Microsoft Student partner, and loves Microsoft's perspective on viewing onto the real needs and wants of the people.","http://www.microsoftoholic.com/","","microsoftoholic","http://www.microsoftoholic.com/feed","tech",206,0,1385983140,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,NULL,"microsoftoholic"
"donaldderek","Donald's Blog","My Personal A51 and Playground","http://blog.donaldderek.com","Donald Derek Haddad","derekhaddad","http://blog.donaldderek.com/feed/","tech",207,0,1394564940,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","donaldderek"
"prettycapricieuse","Pretty Capricieuse","I like to share my stories with you through this blog, along my interests in cuisine, health, style, couture sometimes, and my inspirations","http://www.prettycapricieuse.com/","Elsa Abi Khalil","ak_elsa","http://www.prettycapricieuse.com/feeds/posts/default?alt=rss","fashion, food",208,1,1462204740,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,NULL,"prettycapricieuse"
"helenmackreath","Helen Mackreath","Helen Mackreath is a Political Science Masters student at the American University of Beirut. She also works as a researcher on Syrian refugees, based in Beirut","http://www.helenmackreath.com/","Helen Mackreath","helenmackreath","http://www.helenmackreath.com/feed/","society, politics",209,0,1459291200,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,NULL,"helenmackreath"
"beirutandi","Beirut and I","Mademoiselle's blog","http://beirutandi.com/","Maria Etre","mariaetre","http://beirutandi.com/rss.xml","society",210,0,1404463740,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","beirutandi"
"maatooha","يوميات معتوهة","لأن الشمس غير ثابتة، الأرض، القمر، الكواكب.. وأنا كذلك ...","http://maatooha.wordpress.com/","","","http://maatooha.wordpress.com/feed/","society",211,0,1381955580,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","maatooha"
"piahajal","Cheikha Pia","I'm the Ground I'm the Air I'm in All of those who dare","http://piahajal.tumblr.com/","Pia Hajal","piipower","http://piahajal.tumblr.com/rss","society",212,0,1378989660,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","piahajal"
"thinkdoms","Thinkdoms","Think! It's not illegal....yet.","http://thinkdoms.com/","Ali Cheikhali","thinkdoms","http://thinkdoms.com/feed/","society",214,1,1461732540,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,NULL,"thinkdoms"
"salemmneimneh","Salem Mneimneh","Marketing, Social Media","http://salemmneimneh.wordpress.com/","Salem Mneimneh","salem_the_iii","http://salemmneimneh.wordpress.com/feed/","tech, design",222,0,1400011140,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","salemmneimneh"
"laraspeaksstyle","Lara Speaks Style","through this blog I share with you all the tips and tricks you need to know about the latest trends. I cover red carpet fashion, select celebrities of the week, and speak about designers I love by sharing their collections. I also share my personal outfits from time to time to show you how I wear a look in my own way","http://laraspeaksstyle.wordpress.com/","Lara Ajouz","laraajz","http://laraspeaksstyle.wordpress.com/feed/","fashion",216,1,1505114160,"","0000-00-00 00:00:00","2017-09-11 07:21:35",NULL,NULL,NULL,"laraspeaksstyle"
